ward,date,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_12,cases_roll_3,cases_roll_6,rain_lag_1,rain_3m_lag,rainy_days_lag_1,heavy_rain_days_lag_1,tmax_lag_1,tmin_lag_1,humidity_lag_1,oni_lag_1,month_sin,month_cos,slum_pct_imputed,population_density_per_km2,elevation_m,vulnerability_index,population_2019,predicted_cases,lower_80,upper_80,latest_annual_cases,calibration_scale,scenario,enso_value,climate_rain_mm_lag1,climate_temp_lag1,q50,q75,q90,slum_pct,risk_score,risk_level,priority_score,predicted_cases_per_100k
R/C,2026-02-01,217.93059370970454,207.1769916465773,202.00437293266805,196.42338958345013,209.03731942964995,215.3442843527499,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,19.0,12054.163795161348,11.0,24.758916206328827,581718.0,211.29307635690253,158.5009246813961,245.6905731562416,2428.0,0.989096474498806,typical,0.0,0.10828538344181818,29.35588208211146,237.0,319.0,357.9,19.0,37.878787878787875,Low,34.59881996067311,36.32225173656351
P/N,2026-02-01,196.6166095545253,206.4021366659948,183.56924007256603,185.0189477927837,195.52932876436205,215.58361889404023,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,54.0,20751.61391657302,21.0,68.51752173761194,974114.0,169.85461578200693,140.34367144490975,237.95046619845834,2697.0,0.9649163332968834,typical,0.0,0.10828538344181818,29.35588208211146,236.5,303.75,381.70000000000005,54.0,18.939393939393938,Low,31.33392588894844,17.436831395710044
A,2026-02-01,107.42683851402577,118.72630780894617,89.90447308567096,96.4548900682335,105.35253980288098,106.85367702805156,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,34.0,16997.556497721376,0.0,51.287740727275576,191450.0,92.1911981333085,71.60277788891426,115.4346231795937,1296.0,0.9677901036276229,typical,0.0,0.10828538344181818,29.35588208211146,118.0,151.0,192.50000000000003,34.0,24.242424242424242,Low,31.003753363637074,48.154190719931314
R/S,2026-02-01,36.78715488545134,31.25122381045623,26.697474055218322,35.715684354807124,31.57861758370863,32.977481887605244,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,58.0,38869.334356166,23.0,84.82276801582847,715275.0,36.11983128488497,18.248526689993493,52.34716669055749,456.0,0.806268400473146,typical,0.0,0.10828538344181818,29.35588208211146,126.5,180.5,293.5000000000001,58.0,12.878787878787879,Low,30.86478291304803,5.04978243121666
B,2026-02-01,95.08576566606722,89.39687370314014,96.71116336976068,94.2730668142205,93.731267579656,101.99370590676442,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,11.0,49312.29159982718,8.0,41.88241156212007,131718.0,89.32457681541527,63.52172701232239,110.1382654880517,1175.0,0.9795788760766866,typical,0.0,0.10828538344181818,29.35588208211146,119.0,150.75,171.0,11.0,24.242424242424242,Low,28.652421072348197,67.81501147558821
M/W,2026-02-01,130.3427499706951,134.58844215215098,116.33196577189075,125.46020396202086,127.0877192982456,133.13783065682023,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,53.0,24370.643551681354,8.0,75.68490036817151,426222.0,130.79337636831258,110.69691969675944,164.46760836472788,1811.0,0.9883692592576139,typical,0.0,0.10828538344181818,29.35588208211146,208.5,298.5,405.30000000000007,53.0,12.878787878787879,Low,28.580316001133788,30.686678859447092
L,2026-02-01,437.982131039047,456.01839144519136,430.6518861681006,394.48291476540453,441.55080288411295,460.615869587934,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,54.0,59247.16505912701,14.0,97.98623146836815,933611.0,426.766678799068,334.0693261082086,552.897055763451,5538.0,0.9857708936863298,typical,0.0,0.10828538344181818,29.35588208211146,886.5,1038.25,1224.8000000000002,54.0,5.303030303030303,Low,28.473830594364763,45.711402157758215
N,2026-02-01,97.23035629850081,92.74750368536701,85.41192668205711,84.46101855199844,91.79659555530831,96.80584374043889,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,62.0,24965.570277936793,4.0,88.80171457911482,644521.0,93.1436683002412,71.86531061981518,107.3916154603801,1221.0,0.9632398949549266,typical,0.0,0.10828538344181818,29.35588208211146,535.5,642.75,825.9,62.0,6.0606060606060606,Low,26.74588319023325,14.451611087961632
C,2026-02-01,24.930630257895462,24.50365466832161,25.926906633567782,23.981795614398013,25.120397186594953,27.56364639360088,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,39.0,89447.24562784938,15.0,100.0,171941.0,26.914368522274046,14.74481150611651,37.9145500120874,344.0,0.57970542451328,typical,0.0,0.10828538344181818,29.35588208211146,191.0,245.0,288.0,,0.0,Low,25.0,15.653258107300788
S,2026-02-01,208.87198843559267,199.92539351108255,170.69394474783164,181.05782203662062,193.16377556483562,186.8007682835421,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,72.0,25742.327721822323,18.0,95.07507283047032,769657.0,172.34034789442177,132.87888088842374,236.62785142453023,2206.0,1.0383821745317885,typical,0.0,0.10828538344181818,29.35588208211146,344.5,434.5,517.8,72.0,0.7575757575757576,Low,24.336950025799396,22.391837908889514
F/N,2026-02-01,88.62756233916052,90.11553820214749,76.25876297808145,93.92847635105156,85.00062117312983,95.028958499719,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,58.0,44351.2179713998,11.0,94.01830303515386,547438.0,87.52510629562266,68.24305064063606,115.5862922779565,1048.0,0.9912229790641491,typical,0.0,0.10828538344181818,29.35588208211146,210.5,281.5,415.30000000000007,58.0,0.7575757575757576,Low,24.072757576970282,15.988131312700737
G/N,2026-02-01,185.2441734190962,222.31684905187538,203.12488513908616,170.82039929830427,203.56196920335256,230.52210898560415,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,32.0,70386.32902931391,13.0,79.41957984524025,619878.0,183.88424206078213,149.22073920964854,222.15365518543388,2854.0,0.9723801736603143,typical,0.0,0.10828538344181818,29.35588208211146,344.5,431.25,580.8000000000002,32.0,4.545454545454546,Low,23.263985870400973,29.664585944457155
K/W,2026-02-01,175.0081967213115,154.0656574105052,118.51204416192708,144.48728671796587,149.19529943124792,149.43881733021078,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,15.0,31401.094940158986,4.0,36.309719599293075,774733.0,163.664703357525,118.25182338035795,200.8936685497927,1941.0,1.0092975501098544,typical,0.0,0.10828538344181818,29.35588208211146,255.0,312.0,386.9,15.0,17.424242424242426,Low,22.14561171800509,21.125304247724703
H/E,2026-02-01,209.88037713612258,184.70595167943426,183.02298173246905,173.27578078962873,192.53643684934195,193.88047534865447,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,42.0,46206.38850675846,5.0,78.64547148825885,576624.0,171.36334248757197,147.0213340800615,216.349137695823,2261.0,1.0452336083598999,typical,0.0,0.10828538344181818,29.35588208211146,446.0,562.5,628.9,42.0,1.5151515151515151,Low,20.79773150842835,29.71838537549113
P/S,2026-02-01,43.7147385103011,36.88431061806656,28.915478077126256,37.79503433703117,36.504842401831304,34.45571403416094,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,57.0,18947.99258776129,13.0,74.55156987481263,479631.0,34.0891897750235,21.901311215927738,46.38720516447754,431.0,0.6938065216802108,typical,0.0,0.10828538344181818,29.35588208211146,68.5,84.0,110.80000000000001,57.0,2.272727272727273,Low,20.34243792324861,7.107378333557151
H/W,2026-02-01,123.06666666666666,92.22828282828283,93.0888888888889,99.97373737373736,102.7946127946128,108.81885521885522,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,39.0,35081.3916144126,16.0,62.419549628621816,318281.0,102.65368951543147,78.71325169224261,133.8625587566265,1278.0,0.9688994021038206,typical,0.0,0.10828538344181818,29.35588208211146,163.0,221.25,291.6,39.0,4.545454545454546,Low,19.013978316246362,32.252534557649206
K/E,2026-02-01,290.8694394828613,261.67729863060305,241.60222278926034,254.40117943919935,264.7163203009082,265.5637398051279,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,49.0,35404.028806505885,32.0,67.47412697353374,852546.0,252.5606301088401,200.14764741991516,369.76016895633614,3092.0,0.9844485120143874,typical,0.0,0.10828538344181818,29.35588208211146,550.5,641.75,805.2,49.0,0.0,Low,16.868531743383436,29.624281869698535
F/S,2026-02-01,42.71194879089616,36.39103840682788,35.658179231863436,37.673541963015644,38.25372214319583,40.307254623044095,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,26.0,37977.76498450448,29.0,42.75650366858393,373529.0,38.13634491522569,20.02415990860296,55.073970318137135,483.0,0.8315184529539577,typical,0.0,0.10828538344181818,29.35588208211146,355.0,436.0,571.7000000000002,26.0,1.5151515151515151,Low,11.82548955350962,10.209741389617859
D,2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,10.0,43438.070289872856,17.0,32.5715918586037,358933.0,0.0,0.0,142.50922828231873,0.0,0.35,typical,0.0,0.10828538344181818,29.35588208211146,373.0,456.0,570.3000000000002,10.0,0.0,Low,8.142897964650926,0.0
T,2026-02-01,73.58632676709155,66.32203553495557,79.05813055233682,70.56740054074932,72.98883095146131,86.74695828505214,0.10828538344181818,17.501679340623635,0.0,0.0,29.35588208211146,18.853054809384187,63.067006729017365,0.0,0.8660254037844386,0.5000000000000001,33.0,8200.969947931737,97.0,0.0,353343.0,79.53371485476787,47.91257121683043,97.56143205282538,977.0,1.0036294074710792,typical,0.0,0.10828538344181818,29.35588208211146,158.0,205.0,256.8,33.0,3.787878787878788,Low,2.840909090909091,22.50892612978547
G/S,2026-03-01,566.6192498963945,582.321073352673,644.045482801492,588.0062163282222,597.6619353501866,601.4069104848736,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,21.0,41858.76936999277,7.0,49.35034752315354,390890.0,564.0277637586782,468.178065241685,645.5441529387186,7839.0,1.001996486387063,typical,0.0,1.0079904092581817,30.034908066502485,445.5,569.25,725.7,21.0,73.48484848484848,Medium,67.45122324442474,144.29321900245037
