ward,date,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_12,cases_roll_3,cases_roll_6,rain_lag_1,rain_3m_lag,rainy_days_lag_1,heavy_rain_days_lag_1,tmax_lag_1,tmin_lag_1,humidity_lag_1,oni_lag_1,month_sin,month_cos,slum_pct_imputed,population_density_per_km2,elevation_m,vulnerability_index,population_2019,predicted_cases,lower_80,upper_80,latest_annual_cases,calibration_scale,scenario,enso_value,climate_rain_mm_lag1,climate_temp_lag1,q50,q75,q90,slum_pct,risk_score,risk_level,priority_score,predicted_cases_per_100k
R/N,2026-03-01,111.90716424786915,120.50103662750519,124.23750287952083,102.19235199262843,118.88190125163173,121.90221147201106,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,51.0,31330.65518222099,11.0,76.65413963198206,446374.0,103.47529846691356,82.31050584016742,136.5551191988412,1622.0,0.97518594977642,typical,0.0,1.0079904092581817,30.034908066502485,84.5,137.25,183.60000000000002,51.0,60.60606060606061,Medium,64.61808036254097,23.181300538766497
E,2026-03-01,353.985480610182,400.00030631624094,456.2041291429272,440.7562947987502,403.3966386897834,441.85188588698975,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,20.0,55680.01825933636,11.0,55.761109348493214,406967.0,370.67428295901294,297.528044235964,435.67720677373177,5365.0,0.9885932517551124,typical,0.0,1.0079904092581817,30.034908066502485,306.0,443.25,675.0000000000002,20.0,66.66666666666666,Medium,63.9402773371233,91.08214743677324
M/E,2026-03-01,358.239897370109,413.26906747304434,418.9095574085953,272.807110785302,396.8061740839162,396.8291029047925,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,30.0,25140.114655526762,29.0,38.831176497016315,835819.0,352.62817854435525,302.34991817324305,434.7672975374605,4504.0,1.0015566153463125,typical,0.0,1.0079904092581817,30.034908066502485,351.5,510.0,711.0000000000002,30.0,50.0,Medium,47.20779412425408,42.18953846997439
A,2026-03-01,96.4548900682335,107.42683851402577,118.72630780894617,85.48294162244125,107.5360121304018,102.18650492797575,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,34.0,16997.556497721376,0.0,51.287740727275576,191450.0,91.51062979242826,63.72344012965748,118.57655718444764,1296.0,0.9677901036276229,typical,0.0,1.0079904092581817,30.034908066502485,118.0,151.0,192.50000000000003,34.0,24.242424242424242,Low,31.003753363637074,47.79870973749191
R/S,2026-03-01,35.715684354807124,36.78715488545134,31.25122381045623,36.96573330722538,34.584687683571566,31.83160368122185,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,58.0,38869.334356166,23.0,84.82276801582847,715275.0,35.01980261190231,18.874829912087698,51.24605412990159,456.0,0.806268400473146,typical,0.0,1.0079904092581817,30.034908066502485,126.5,180.5,293.5000000000001,58.0,12.878787878787879,Low,30.86478291304803,4.895991417553012
R/C,2026-03-01,196.42338958345013,217.93059370970454,207.1769916465773,189.2089476929977,207.17699164657733,209.17344097475288,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,19.0,12054.163795161348,11.0,24.758916206328827,581718.0,201.32146549629442,159.75946443456564,253.16148977391927,2428.0,0.989096474498806,typical,0.0,1.0079904092581817,30.034908066502485,237.0,319.0,357.9,19.0,31.818181818181817,Low,30.053365415218572,34.60808596197718
P/N,2026-03-01,185.0189477927837,196.6166095545253,206.4021366659948,166.53517436000806,196.01256467110127,200.9657327151784,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,54.0,20751.61391657302,21.0,68.51752173761194,974114.0,162.71042792992617,133.61042358278826,203.0663813049407,2697.0,0.9649163332968834,typical,0.0,1.0079904092581817,30.034908066502485,236.5,303.75,381.70000000000005,54.0,16.666666666666664,Low,29.629380434402982,16.703427723030998
L,2026-03-01,394.48291476540453,437.982131039047,456.01839144519136,400.94510432268623,429.49447908321434,443.2708384130412,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,54.0,59247.16505912701,14.0,97.98623146836815,933611.0,394.0953507722123,313.4297825194477,500.28940638474324,5538.0,0.9857708936863298,typical,0.0,1.0079904092581817,30.034908066502485,886.5,1038.25,1224.8000000000002,54.0,3.787878787878788,Low,27.337466958001126,42.21194381516631
N,2026-03-01,84.46101855199844,97.23035629850081,92.74750368536701,79.29894584596556,91.47962617862208,91.87017773203904,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,62.0,24965.570277936793,4.0,88.80171457911482,644521.0,78.77551558347079,65.32072623657825,93.93382778143133,1221.0,0.9632398949549266,typical,0.0,1.0079904092581817,30.034908066502485,535.5,642.75,825.9,62.0,6.0606060606060606,Low,26.74588319023325,12.222334971780718
B,2026-03-01,94.2730668142205,95.08576566606722,89.39687370314014,86.7962373772306,92.9185687278093,97.19878268086872,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,11.0,49312.29159982718,8.0,41.88241156212007,131718.0,83.65600749029998,64.21490768753625,111.08424270287259,1175.0,0.9795788760766866,typical,0.0,1.0079904092581817,30.034908066502485,119.0,150.75,171.0,11.0,19.696969696969695,Low,25.24333016325729,63.511446795654344
