ward,year,cases,reporting_months,source
B,2016,1173.0,12.0,Praja raw monthly
C,2016,2789.0,12.0,Praja raw monthly
D,2016,6795.0,12.0,Praja raw monthly
E,2016,2931.0,12.0,Praja raw monthly
F/N,2016,2186.0,12.0,Praja raw monthly
F/S,2016,4967.0,12.0,Praja raw monthly
G/N,2016,5452.0,12.0,Praja raw monthly
G/S,2016,5567.0,12.0,Praja raw monthly
H/E,2016,6371.0,12.0,Praja raw monthly
H/W,2016,1741.0,12.0,Praja raw monthly
K/E,2016,5617.0,12.0,Praja raw monthly
K/W,2016,1876.0,12.0,Praja raw monthly
L,2016,12009.0,12.0,Praja raw monthly
M/E,2016,6396.0,12.0,Praja raw monthly
M/W,2016,1792.0,12.0,Praja raw monthly
N,2016,8383.0,12.0,Praja raw monthly
P/N,2016,3393.0,12.0,Praja raw monthly
P/S,2016,676.0,12.0,Praja raw monthly
R/C,2016,2591.0,12.0,Praja raw monthly
R/N,2016,1868.0,12.0,Praja raw monthly
R/S,2016,1389.0,12.0,Praja raw monthly
S,2016,4192.0,12.0,Praja raw monthly
T,2016,2139.0,12.0,Praja raw monthly
A,2017,1496.0,12.0,Praja raw monthly
B,2017,1176.0,12.0,Praja raw monthly
C,2017,2837.0,12.0,Praja raw monthly
D,2017,2521.0,12.0,Praja raw monthly
E,2017,3755.0,12.0,Praja raw monthly
F/N,2017,2889.0,12.0,Praja raw monthly
F/S,2017,4337.0,12.0,Praja raw monthly
G/N,2017,6715.0,12.0,Praja raw monthly
G/S,2017,5540.0,12.0,Praja raw monthly
H/E,2017,6462.0,12.0,Praja raw monthly
H/W,2017,1422.0,12.0,Praja raw monthly
K/E,2017,5289.0,12.0,Praja raw monthly
K/W,2017,2312.0,12.0,Praja raw monthly
L,2017,12026.0,12.0,Praja raw monthly
M/E,2017,4561.0,12.0,Praja raw monthly
M/W,2017,1253.0,12.0,Praja raw monthly
N,2017,4567.0,12.0,Praja raw monthly
P/N,2017,1946.0,12.0,Praja raw monthly
P/S,2017,688.0,12.0,Praja raw monthly
R/C,2017,3512.0,12.0,Praja raw monthly
R/N,2017,2164.0,12.0,Praja raw monthly
R/S,2017,1001.0,12.0,Praja raw monthly
S,2017,5543.0,12.0,Praja raw monthly
T,2017,1512.0,12.0,Praja raw monthly
A,2018,1995.0,12.0,Praja raw monthly
B,2018,1369.0,12.0,Praja raw monthly
C,2018,3110.0,12.0,Praja raw monthly
D,2018,469.0,12.0,Praja raw monthly
E,2018,3806.0,12.0,Praja raw monthly
F/N,2018,2894.0,12.0,Praja raw monthly
F/S,2018,4088.0,12.0,Praja raw monthly
G/N,2018,5680.0,12.0,Praja raw monthly
G/S,2018,7842.0,12.0,Praja raw monthly
H/E,2018,5039.0,12.0,Praja raw monthly
H/W,2018,1481.0,12.0,Praja raw monthly
K/E,2018,5703.0,12.0,Praja raw monthly
K/W,2018,2216.0,12.0,Praja raw monthly
L,2018,11505.0,12.0,Praja raw monthly
M/E,2018,5758.0,12.0,Praja raw monthly
M/W,2018,1594.0,12.0,Praja raw monthly
N,2018,4901.0,12.0,Praja raw monthly
P/N,2018,3225.0,12.0,Praja raw monthly
P/S,2018,688.0,12.0,Praja raw monthly
R/C,2018,3926.0,12.0,Praja raw monthly
R/N,2018,1826.0,12.0,Praja raw monthly
R/S,2018,15.0,12.0,Praja raw monthly
S,2018,6328.0,12.0,Praja raw monthly
T,2018,1759.0,12.0,Praja raw monthly
A,2019,1526.0,,Praja 2024 Table 19
B,2019,1132.0,,Praja 2024 Table 19
C,2019,2318.0,,Praja 2024 Table 19
D,2019,99.0,,Praja 2024 Table 19
E,2019,5561.0,,Praja 2024 Table 19
F/N,2019,2012.0,,Praja 2024 Table 19
F/S,2019,3391.0,,Praja 2024 Table 19
G/N,2019,5856.0,,Praja 2024 Table 19
G/S,2019,8529.0,,Praja 2024 Table 19
H/E,2019,2797.0,,Praja 2024 Table 19
H/W,2019,934.0,,Praja 2024 Table 19
K/E,2019,3951.0,,Praja 2024 Table 19
K/W,2019,2492.0,,Praja 2024 Table 19
L,2019,10915.0,,Praja 2024 Table 19
M/E,2019,5806.0,,Praja 2024 Table 19
M/W,2019,1203.0,,Praja 2024 Table 19
N,2019,7374.0,,Praja 2024 Table 19
P/N,2019,4305.0,,Praja 2024 Table 19
P/S,2019,1160.0,,Praja 2024 Table 19
R/C,2019,4093.0,,Praja 2024 Table 19
R/N,2019,1253.0,,Praja 2024 Table 19
R/S,2019,2189.0,,Praja 2024 Table 19
S,2019,5638.0,,Praja 2024 Table 19
T,2019,1328.0,,Praja 2024 Table 19
A,2020,976.0,,Praja 2024 Table 19
B,2020,696.0,,Praja 2024 Table 19
C,2020,1612.0,,Praja 2024 Table 19
D,2020,91.0,,Praja 2024 Table 19
E,2020,4087.0,,Praja 2024 Table 19
F/N,2020,1240.0,,Praja 2024 Table 19
F/S,2020,2323.0,,Praja 2024 Table 19
G/N,2020,3843.0,,Praja 2024 Table 19
G/S,2020,6370.0,,Praja 2024 Table 19
H/E,2020,1613.0,,Praja 2024 Table 19
H/W,2020,787.0,,Praja 2024 Table 19
K/E,2020,2988.0,,Praja 2024 Table 19
K/W,2020,2431.0,,Praja 2024 Table 19
L,2020,7530.0,,Praja 2024 Table 19
M/E,2020,4466.0,,Praja 2024 Table 19
M/W,2020,970.0,,Praja 2024 Table 19
N,2020,5293.0,,Praja 2024 Table 19
P/N,2020,4135.0,,Praja 2024 Table 19
P/S,2020,897.0,,Praja 2024 Table 19
R/C,2020,2892.0,,Praja 2024 Table 19
R/N,2020,777.0,,Praja 2024 Table 19
R/S,2020,948.0,,Praja 2024 Table 19
S,2020,3434.0,,Praja 2024 Table 19
T,2020,978.0,,Praja 2024 Table 19
A,2021,1136.0,,Praja 2024 Table 19
B,2021,651.0,,Praja 2024 Table 19
C,2021,2010.0,,Praja 2024 Table 19
D,2021,141.0,,Praja 2024 Table 19
E,2021,5118.0,,Praja 2024 Table 19
F/N,2021,1874.0,,Praja 2024 Table 19
F/S,2021,1717.0,,Praja 2024 Table 19
G/N,2021,3250.0,,Praja 2024 Table 19
G/S,2021,5017.0,,Praja 2024 Table 19
H/E,2021,1572.0,,Praja 2024 Table 19
H/W,2021,880.0,,Praja 2024 Table 19
K/E,2021,2700.0,,Praja 2024 Table 19
K/W,2021,2365.0,,Praja 2024 Table 19
L,2021,6125.0,,Praja 2024 Table 19
M/E,2021,3967.0,,Praja 2024 Table 19
M/W,2021,571.0,,Praja 2024 Table 19
N,2021,4444.0,,Praja 2024 Table 19
P/N,2021,3888.0,,Praja 2024 Table 19
P/S,2021,799.0,,Praja 2024 Table 19
R/C,2021,2340.0,,Praja 2024 Table 19
R/N,2021,548.0,,Praja 2024 Table 19
R/S,2021,963.0,,Praja 2024 Table 19
S,2021,1685.0,,Praja 2024 Table 19
T,2021,845.0,,Praja 2024 Table 19
A,2022,1030.0,,Praja 2024 Table 19
B,2022,1042.0,,Praja 2024 Table 19
C,2022,1761.0,,Praja 2024 Table 19
D,2022,10.0,,Praja 2024 Table 19
E,2022,5207.0,,Praja 2024 Table 19
F/N,2022,3071.0,,Praja 2024 Table 19
F/S,2022,2247.0,,Praja 2024 Table 19
G/N,2022,3580.0,,Praja 2024 Table 19
G/S,2022,7950.0,,Praja 2024 Table 19
H/E,2022,3247.0,,Praja 2024 Table 19
H/W,2022,885.0,,Praja 2024 Table 19
K/E,2022,2424.0,,Praja 2024 Table 19
K/W,2022,2343.0,,Praja 2024 Table 19
L,2022,5966.0,,Praja 2024 Table 19
M/E,2022,4673.0,,Praja 2024 Table 19
M/W,2022,2580.0,,Praja 2024 Table 19
N,2022,2306.0,,Praja 2024 Table 19
P/N,2022,3006.0,,Praja 2024 Table 19
P/S,2022,610.0,,Praja 2024 Table 19
R/C,2022,2428.0,,Praja 2024 Table 19
R/N,2022,1410.0,,Praja 2024 Table 19
R/S,2022,969.0,,Praja 2024 Table 19
S,2022,2060.0,,Praja 2024 Table 19
T,2022,939.0,,Praja 2024 Table 19
A,2023,1296.0,,Praja 2024 Table 19
B,2023,1175.0,,Praja 2024 Table 19
C,2023,344.0,,Praja 2024 Table 19
D,2023,0.0,,Praja 2024 Table 19
E,2023,5365.0,,Praja 2024 Table 19
F/N,2023,1048.0,,Praja 2024 Table 19
F/S,2023,483.0,,Praja 2024 Table 19
G/N,2023,2854.0,,Praja 2024 Table 19
G/S,2023,7839.0,,Praja 2024 Table 19
H/E,2023,2261.0,,Praja 2024 Table 19
H/W,2023,1278.0,,Praja 2024 Table 19
K/E,2023,3092.0,,Praja 2024 Table 19
K/W,2023,1941.0,,Praja 2024 Table 19
L,2023,5538.0,,Praja 2024 Table 19
M/E,2023,4504.0,,Praja 2024 Table 19
M/W,2023,1811.0,,Praja 2024 Table 19
N,2023,1221.0,,Praja 2024 Table 19
P/N,2023,2697.0,,Praja 2024 Table 19
P/S,2023,431.0,,Praja 2024 Table 19
R/C,2023,2428.0,,Praja 2024 Table 19
R/N,2023,1622.0,,Praja 2024 Table 19
R/S,2023,456.0,,Praja 2024 Table 19
S,2023,2206.0,,Praja 2024 Table 19
T,2023,977.0,,Praja 2024 Table 19
